task,source,n,mean,std,ks_stat,ks_p,cohens_d
AUT (CAP Originality),cpo,1032,0.5638275193798451,0.09085743780404452,0.23377121043485052,5.41867824228044e-27,-0.4861864924330132
AUT (CAP Originality),llama_base,1004,0.5919521912350597,0.0783883887238354,0.4019087378445914,3.4479781053965746e-79,-0.8663340806959076
AUT (CAP Originality),gemini,980,0.6495816326530611,0.07621892336717993,0.63386538494491,1.9526518165056487e-203,-1.5898119302278524
SCTT (CAP Originality),cpo,1032,0.6165503875968992,0.11143417145664895,0.36900206064174274,2.363596690036253e-67,-0.7489661376436677
SCTT (CAP Originality),llama_base,1004,0.6858466135458168,0.07882980378379917,0.5954384991678854,1.2423106135450326e-179,-1.5123710086464601
SCTT (CAP Originality),gemini,980,0.7220714285714287,0.12960100237320282,0.5734607767157496,1.4055039662977264e-163,-1.5256342673207839
Design Originality (CAP),cpo,1032,0.6034689922480619,0.1508533148689047,0.3982708760091577,7.416631704262779e-78,-0.8894428390820114
Design Originality (CAP),llama_base,1004,0.7174003984063745,0.10457965541566895,0.6941456970047272,1.4885619730178755e-248,-1.9371992224842047
Design Originality (CAP),gemini,980,0.7584285714285715,0.13096163540872371,0.819844207112897,6.4e-323,-2.069669093827588
Design Effectiveness (CAP),cpo,1032,0.531608527131783,0.16678662627771762,0.07587761577700125,0.003479056829695239,0.02526042421153705
Design Effectiveness (CAP),llama_base,1004,0.6929780876494024,0.12106702212571811,0.5646533038829139,1.1736101982401597e-158,-1.2573341059913121
Design Effectiveness (CAP),gemini,980,0.6223163265306121,0.13900802050175248,0.35889464594127807,2.8984239649342263e-61,-0.6471968305464214
Story (DSI),cpo,1000,0.7500272196531296,0.19463079085764035,0.29118086040386304,2.6135943876445235e-40,0.3314768034260848
Story (DSI),llama_base,1004,0.7807542000158849,0.10630585496994012,0.13904172598456044,1.825114667761786e-09,0.1976315296191424
Story (DSI),gemini,980,0.7558421868450788,0.16410193091979558,0.08802655390514415,0.0005233780233602901,0.3421464267853654
Story (MAoSS),cpo,1002,0.5125149700598802,0.13117109597403717,0.3766016917214522,5.290600361229645e-68,-0.7193256121959858
Story (MAoSS),llama_base,1003,0.490259222333001,0.09079232406967822,0.3030976999072712,7.545689316281491e-44,-0.6414026716303456
Story (MAoSS),gemini,980,0.47038775510204084,0.0911881209058637,0.3116419294990724,8.3245483453406e-46,-0.449897467561821
